ensid	gene	unt_1	unt_2	unt_3	unt_4	vitc_1	vitc_2	vitc_3	vitc_4	exp1	exp2	exp3	exp4
ENSMUSG00000000157	ITGB2L	0	0	0.128664	0.193898	0	0.035	2.36501	2.80006	n.s	n.s	up	up
ENSMUSG00000000159	IGSF5	0.04	0.026	0.0584981	0.136518	0.078	0.022	0.0274977	0.0474213	n.s	n.s	n.s	n.s
ENSMUSG00000000167	PIH1D2	0.291	0.613	0.142459	0.312299	0.487	0.421	0.243056	0.280396	n.s	n.s	n.s	n.s
ENSMUSG00000000168	DLAT	17.815	15.997	25.6431	28.386	21.656	19.602	26.6242	31.2628	n.s	n.s	n.s	n.s
ENSMUSG00000000171	SDHD	133.935	205.384	163.555	98.8919	133.438	210.826	158.022	98.1489	n.s	n.s	n.s	n.s
ENSMUSG00000000182	FGF23	0	0.019	0.0130153	0.0237629	0.012	0.033	0	0	n.s	n.s	n.s	n.s
ENSMUSG00000000183	FGF6	0	0	0	0	0	0	0	0	n.s	n.s	n.s	n.s
ENSMUSG00000000184	CCND2	60.646	27.281	86.4072	118.934	78.165	26.578	72.7891	101.37	n.s	n.s	n.s	n.s
ENSMUSG00000000194	GPR107	5.53	5.053	5.84975	6.8286	4.841	5.05	7.17977	7.82838	n.s	n.s	n.s	n.s
ENSMUSG00000000197	NALCN	0	0	0	0	0	0	0	0	n.s	n.s	n.s	n.s
ENSMUSG00000000202	BTBD17	0	0	0.00740816	0	0	0	0	0.0135361	n.s	n.s	n.s	n.s
ENSMUSG00000000204	SLFN4	1.071	4.33	0.579785	0.475045	1.109	9.419	1.60613	1.32192	n.s	up	up	up
ENSMUSG00000000214	TH	0	0	0	0	0	0	0	0	n.s	n.s	n.s	n.s
ENSMUSG00000000215	INS2	0	0	0	0	0	0	0	0	n.s	n.s	n.s	n.s
ENSMUSG00000000216	SCNN1G	0	0	0	0	0	0	0	0	n.s	n.s	n.s	n.s
ENSMUSG00000000223	DRP2	0.085	0.107	0.067262	0.157412	0.055	0.094	0.0711411	0.093719	n.s	n.s	n.s	n.s
ENSMUSG00000000244	TSPAN32	87.028	122.992	35.8034	42.3272	87.019	95.937	28.0212	33.1645	n.s	n.s	n.s	n.s
ENSMUSG00000000247	LHX2	0.006	0.028	0.0483697	0.0288485	0.005	0.01	0.0415065	0.0298583	n.s	n.s	n.s	n.s
ENSMUSG00000000248	CLEC2G	0.005	0.013	0	0	0.023	0.011	0	0.016263	n.s	n.s	n.s	n.s
ENSMUSG00000000253	GMPR	11.809	4.259	13.705	9.35966	12.588	5.181	15.3809	10.5906	n.s	n.s	n.s	n.s
ENSMUSG00000000263	GLRA1	0	0	0	0	0	0	0	0	n.s	n.s	n.s	n.s
ENSMUSG00000000266	MID2	0.002	0	0.00290976	0	0.003	0	0	0	n.s	n.s	n.s	n.s
ENSMUSG00000000275	TRIM25	21.437	18.544	32.9327	37.3735	21.041	25.199	30.5936	35.7168	n.s	n.s	n.s	n.s
ENSMUSG00000000276	DGKE	1.311	1.695	2.60191	3.50401	1.958	1.781	2.62164	4.06853	n.s	n.s	n.s	n.s
ENSMUSG00000000278	SCPEP1	13.612	9.778	22.9172	16.4562	10.881	11.833	22.482	15.9231	n.s	n.s	n.s	n.s
ENSMUSG00000000282	MNT	23.214	21.442	21.7411	14.034	25.595	21.179	18.8014	14.0385	n.s	n.s	n.s	n.s
ENSMUSG00000000290	ITGB2	196.454	145.028	111.994	86.0807	156.011	161.754	180.804	132.265	n.s	n.s	up	up
ENSMUSG00000000295	HDDC2	4.987	8.576	3.02682	3.06184	5.217	7.313	2.77774	2.68324	n.s	n.s	n.s	n.s
ENSMUSG00000000296	TPD52L1	0.087	0.139	0	0	0.376	0.239	0	0	n.s	n.s	n.s	n.s
ENSMUSG00000000301	PEMT	3.467	3.543	3.56631	1.71058	2.501	4.656	3.4077	1.76248	n.s	n.s	n.s	n.s
ENSMUSG00000000303	CDH1	0	0.004	1.7222	2.2506	0.014	0.013	3.27049	3.5078	n.s	n.s	up	n.s
ENSMUSG00000000305	CDH4	0.027	0	0.00327051	0.00597117	0.015	0.004	0.0126431	0	n.s	n.s	n.s	n.s
ENSMUSG00000000308	CKMT1	0	0	0.0377731	0.0324676	0	0.012	0.0121889	0.0335159	n.s	n.s	n.s	n.s
ENSMUSG00000000317	BCL6B	0	0.028	0	0	0	0.008	0.00818056	0.0111295	n.s	n.s	n.s	n.s
ENSMUSG00000000318	CLEC10A	11.555	13.097	8.25504	5.71573	6.614	7.26	8.18248	5.51998	n.s	dn	n.s	n.s
ENSMUSG00000000320	ALOX12	0	0	0.0115593	0	0	0	0	0.0107032	n.s	n.s	n.s	n.s
ENSMUSG00000000325	ARVCF	0.282	0.108	0.167982	0.112355	0.047	0.04	0.104174	0.0630148	n.s	n.s	n.s	n.s
ENSMUSG00000000326	COMT	34.597	34.405	37.5922	27.5431	38.709	45.774	38.9687	29.8531	n.s	n.s	n.s	n.s
ENSMUSG00000000339	RTCD1	26.972	27.259	31.3505	17.9397	25.324	30.17	31.73	17.9498	n.s	n.s	n.s	n.s
ENSMUSG00000000340	DBT	12.127	10.516	12.5713	9.78401	11.109	10.882	13.6197	10.2769	n.s	n.s	n.s	n.s
ENSMUSG00000000346	DAZAP2	210.309	197.149	275.794	148.003	209.847	214.223	270.896	145.452	n.s	n.s	n.s	n.s
ENSMUSG00000000355	MCTS1	21.213	55.921	21.2009	16.8965	19.311	43.123	19.5561	14.533	n.s	n.s	n.s	n.s
ENSMUSG00000000359	REM1	0	0	0	0	0	0	0	0	n.s	n.s	n.s	n.s
ENSMUSG00000000365	RNF17	0	0	0	0	0	0	0	0	n.s	n.s	n.s	n.s
ENSMUSG00000000374	TRAPPC10	17.75	17.092	21.5671	25.7426	20.18	23.665	30.1563	34.3806	n.s	n.s	up	up
ENSMUSG00000000378	CCM2	31.597	26.43	24.1673	24.6572	27.5	31.459	27.5878	27.4553	n.s	n.s	n.s	n.s
ENSMUSG00000000381	WAP	0.027	0	0	0	0	0	0	0	n.s	n.s	n.s	n.s
ENSMUSG00000000384	TBRG4	48.072	46.444	51.7628	40.6506	44.883	47.474	54.4922	42.09	n.s	n.s	n.s	n.s
ENSMUSG00000000385	TMPRSS2	0	0	0.00747382	0	0	0	0	0	n.s	n.s	n.s	n.s
ENSMUSG00000000386	MX1	0.008	0.024	0.454798	0.401423	0.012	0	0.262847	0.363834	n.s	n.s	n.s	n.s
ENSMUSG00000000392	FAP	0.01	0.056	0.00833974	0.0087298	0.007	0.036	0.0107466	0.0584305	n.s	n.s	n.s	n.s
ENSMUSG00000000394	GCG	0	0	0	0	0	0	0	0	n.s	n.s	n.s	n.s
ENSMUSG00000000399	NDUFA9	80.453	53.962	74.7997	39.4501	77.693	67.339	72.9925	38.3106	n.s	n.s	n.s	n.s
ENSMUSG00000000402	EGFL6	0	0	0	0	0	0	0.0112513	0	n.s	n.s	n.s	n.s
ENSMUSG00000000409	LCK	4.213	4.505	2.01689	1.63456	4.277	4.936	1.98336	1.08264	n.s	n.s	n.s	n.s
ENSMUSG00000000411	TSSK3	0.043	0	0	0	0.017	0	0	0	n.s	n.s	n.s	n.s
ENSMUSG00000000416	CTTNBP2	0.003	0.008	0	0.00481523	0.005	0.007	0	0	n.s	n.s	n.s	n.s
ENSMUSG00000000420	GALNT1	44.892	38.503	55.5098	64.3523	47.523	38.42	48.8661	57.9597	n.s	n.s	n.s	n.s
ENSMUSG00000000435	MYF5	0	0	0	0	0	0	0	0	n.s	n.s	n.s	n.s
ENSMUSG00000000439	MKRN2	15.766	9.715	13.4816	15.7276	14.198	10.748	12.8155	15.1479	n.s	n.s	n.s	n.s
ENSMUSG00000000440	PPARG	0	0	2.38629	2.93471	0.033	0	3.91733	3.66234	n.s	n.s	n.s	n.s
ENSMUSG00000000441	RAF1	51.512	47.442	28.3127	28.8272	54.666	45.613	36.9171	35.7124	n.s	n.s	up	up
ENSMUSG00000000486	SEPT1	23.424	28.069	24.7207	14.3642	46.063	32.877	26.6139	13.5777	up	n.s	n.s	n.s
ENSMUSG00000000489	PDGFB	0.009	0	0.0964457	0.114437	0.007	0	0.0312784	0	n.s	n.s	n.s	n.s
ENSMUSG00000000530	ACVRL1	0.195	0.095	1.08326	0.790494	0.83	0.185	1.77671	1.56034	n.s	n.s	n.s	n.s
ENSMUSG00000000531	GRASP	4.909	4.707	4.05569	3.47031	3.221	2.932	2.20728	1.74615	n.s	n.s	n.s	dn
ENSMUSG00000000532	ACVR1B	17.983	18.916	17.2328	22.1219	14.337	14.817	13.8207	16.1808	n.s	n.s	n.s	dn
ENSMUSG00000000538	TOM1L2	5.804	6.855	4.55263	4.82015	5.121	6.259	4.47843	4.77059	n.s	n.s	n.s	n.s
ENSMUSG00000000544	GPA33	0.06	0.032	0	0	0.012	0.022	0	0	n.s	n.s	n.s	n.s
ENSMUSG00000000552	ZFP385A	27.552	16.893	71.4221	18.2324	28.072	13.992	58.8087	17.7124	n.s	n.s	n.s	n.s
ENSMUSG00000000555	ITGA5	46.18	43.954	41.201	43.414	42.594	36.505	43.5369	45.0101	n.s	n.s	n.s	n.s
ENSMUSG00000000560	GABRA2	0	0	0	0	0	0	0	0	n.s	n.s	n.s	n.s
ENSMUSG00000000561	WDR77	28.194	27.537	34.7836	32.0576	23.389	25.949	28.033	24.9434	n.s	n.s	n.s	n.s
ENSMUSG00000000562	ADORA3	0.436	0.545	2.57394	2.21154	2.665	2.387	7.62058	6.12426	up	up	up	up
ENSMUSG00000000563	ATP5F1	46.408	70.742	62.1571	27.8705	42.197	69.311	54.6755	25.4191	n.s	n.s	n.s	n.s
ENSMUSG00000000567	SOX9	0	0	0	0	0	0	0	0	n.s	n.s	n.s	n.s
ENSMUSG00000000568	HNRNPD	67.33	57.023	109.573	38.2894	75.12	56.424	100.968	38.1235	n.s	n.s	n.s	n.s
ENSMUSG00000000579	DYNLT1C	7.642	19.97	4.24343	3.67772	8.87	17.757	4.22879	3.78349	n.s	n.s	n.s	n.s
ENSMUSG00000000581	C1D	9.873	29.247	13.394	10.4832	10.014	22.777	13.995	9.88073	n.s	n.s	n.s	n.s
ENSMUSG00000000594	GM2A	98.781	106.186	78.8782	44.7588	48.08	116.882	60.3621	37.0642	dn	n.s	n.s	n.s
ENSMUSG00000000600	KRIT1	12.476	21.116	11.6175	13.1018	12.426	18.899	10.9161	13.4473	n.s	n.s	n.s	n.s
ENSMUSG00000000605	CLCN4-2	17.138	21.694	16.8371	20.2834	17.266	23.35	17.8357	22.2402	n.s	n.s	n.s	n.s
ENSMUSG00000000606	VMN2R88	0	0	0	0	0	0	0	0	n.s	n.s	n.s	n.s
ENSMUSG00000000617	GRM6	0	0	0.0175371	0.0198791	0	0	0.203871	0.169319	n.s	n.s	up	up
ENSMUSG00000000627	SEMA4F	0.054	0.048	0.00919205	0.0251738	0.007	0.015	0.0177673	0.00851128	n.s	n.s	n.s	n.s
ENSMUSG00000000628	HK2	57.787	40.708	39.1815	45.1874	85.466	37.586	35.5436	41.1051	n.s	n.s	n.s	n.s
ENSMUSG00000000631	MYO18A	17.251	13.479	13.0761	12.4334	12.782	10.624	11.2982	11.6786	n.s	dn	n.s	n.s
ENSMUSG00000000632	SEZ6	0	0	0	0	0.001	0.008	0	0	n.s	n.s	n.s	n.s
ENSMUSG00000000673	HAAO	26.654	19.187	14.4422	11.3402	21.856	17.147	9.58548	8.29272	n.s	n.s	dn	n.s
ENSMUSG00000000682	CD52	47.73	62.933	50.3376	16.0372	50.253	52.622	70.5213	22.2266	n.s	n.s	up	up
ENSMUSG00000000686	ABHD15	4.811	5.449	11.8378	15.9562	2.654	3.994	9.80408	12.4935	n.s	n.s	n.s	n.s
ENSMUSG00000000690	HOXB6	0.013	0	0	0	0	0	0	0	n.s	n.s	n.s	n.s
ENSMUSG00000000693	LOXL3	0.318	0.463	0.313972	0.354148	0.387	0.603	0.456981	0.612003	n.s	n.s	n.s	n.s
ENSMUSG00000000701	TCL1B5	0	0	0	0	0	0	0	0	n.s	n.s	n.s	n.s
ENSMUSG00000000706	BTN1A1	0.028	0.031	0.018009	0.0219201	0.06	0.039	0.00773544	0.0333505	n.s	n.s	n.s	n.s
ENSMUSG00000000708	KAT2B	10.732	14.695	8.94307	12.0006	16.356	14.575	9.54053	12.7442	n.s	n.s	n.s	n.s
ENSMUSG00000000711	RAB5B	32.852	32.012	28.7371	29.5716	33.633	37.653	36.0722	35.8833	n.s	n.s	n.s	n.s
ENSMUSG00000000724	CRYBA1	0	0	0	0	0	0	0	0	n.s	n.s	n.s	n.s
ENSMUSG00000000730	DNMT3L	2.257	3.463	1.2801	0.806336	3.117	6.076	3.43096	2.67164	n.s	n.s	up	up
ENSMUSG00000000731	AIRE	0	0	0	0	0	0.004	0.00795386	0	n.s	n.s	n.s	n.s
ENSMUSG00000000732	ICOSL	4.638	5.065	5.18365	4.72903	3.408	6.168	7.22871	6.83854	n.s	n.s	n.s	n.s
ENSMUSG00000000738	SPG7	30.57	25.836	18.9852	13.418	22.518	27.775	20.4525	13.5297	n.s	n.s	n.s	n.s
ENSMUSG00000000739	SULT5A1	0	0	0	0	0	0	0	0	n.s	n.s	n.s	n.s
ENSMUSG00000000743	CHMP1A	33.107	33.825	30.7775	28.6939	30.216	35.611	33.6829	30.9535	n.s	n.s	n.s	n.s
ENSMUSG00000000751	RPA1	28.701	15.242	41.8916	33.7215	29.605	19.219	42.1196	36.1934	n.s	n.s	n.s	n.s
ENSMUSG00000000753	SERPINF1	2.927	1.611	6.98986	3.18388	0.603	2.804	5.57872	2.03457	dn	n.s	n.s	n.s
ENSMUSG00000000759	TUBGCP3	11.419	16.485	10.5894	15.3341	10.12	14.049	10.4085	14.774	n.s	n.s	n.s	n.s
ENSMUSG00000000766	OPRM1	0.003	0	0.00428895	0.00461255	0.002	0.004	0	0	n.s	n.s	n.s	n.s
ENSMUSG00000000776	POLR3D	14.353	11.745	11.7941	7.28175	16.491	13.805	12.4743	7.04791	n.s	n.s	n.s	n.s
ENSMUSG00000000782	TCF7	0.136	0.489	0.916869	0.466803	0.139	0.698	1.09154	0.359995	n.s	n.s	n.s	n.s
ENSMUSG00000000787	DDX3X	131.931	110.912	167.485	151.415	150.951	116.524	157.849	145.319	n.s	n.s	n.s	n.s
ENSMUSG00000000791	IL12RB1	3.716	4.361	3.34043	3.48828	2.689	3.323	2.72445	2.41912	n.s	n.s	n.s	n.s
ENSMUSG00000000792	SLC5A5	0.117	0.103	0.0456391	0.0570231	0.021	0.13	0.0272925	0.0759568	n.s	n.s	n.s	n.s
ENSMUSG00000000794	KCNN3	0	0	0.0536586	0.181941	0	0.01	0.078627	0.157666	n.s	n.s	n.s	n.s
ENSMUSG00000000804	USP32	11.03	13.121	11.2339	18.19	11.195	10.939	10.9293	16.9297	n.s	n.s	n.s	n.s
ENSMUSG00000000805	CAR4	0	0	0	0.0219257	0	0	0.0928489	0.0661248	n.s	n.s	n.s	n.s
ENSMUSG00000000811	TXNRD3	6.361	1.461	4.2814	3.16009	4.016	1.523	3.77283	3.23746	n.s	n.s	n.s	n.s
ENSMUSG00000000817	FASL	0	0.009	0	0.022277	0	0.016	0.0157227	0	n.s	n.s	n.s	n.s
ENSMUSG00000000823	ZNF512B	10.092	13.302	7.60337	10.4289	6.244	11.089	7.36814	10.0413	n.s	n.s	n.s	n.s
ENSMUSG00000000826	DNAJC5	27.137	32.785	33.6876	36.7418	30.733	31.643	37.8122	39.809	n.s	n.s	n.s	n.s
ENSMUSG00000000827	TPD52L2	15.805	21.317	13.4409	9.58009	13.254	20.717	12.4934	9.30066	n.s	n.s	n.s	n.s
ENSMUSG00000000838	FMR1	8.732	12.742	13.1976	16.3725	8.938	9.837	12.6683	15.4106	n.s	n.s	n.s	n.s
ENSMUSG00000000861	BCL11A	0	0	0.703784	1.32468	0	0	0.827519	1.93379	n.s	n.s	n.s	n.s
ENSMUSG00000000869	IL4	0.233	2.089	0.359054	0.421574	1.223	2.917	0.771786	1.03147	n.s	n.s	n.s	n.s
ENSMUSG00000000876	PXMP4	9.857	9.47	7.13015	6.23961	8.353	9.472	7.94541	6.50698	n.s	n.s	n.s	n.s
ENSMUSG00000000881	DLG3	0.07	0.053	1.54226	1.70614	0.004	0.01	1.07853	0.950013	n.s	n.s	n.s	n.s
ENSMUSG00000000884	GNB1L	1.605	1.421	1.68572	1.48324	2.068	1.511	1.97943	1.60981	n.s	n.s	n.s	n.s
ENSMUSG00000000889	DBH	0	0	0	0	0	0	0	0	n.s	n.s	n.s	n.s
ENSMUSG00000000901	MMP11	0.011	0	0.0275386	0.0251395	0.008	0.024	0.0118287	0.0169994	n.s	n.s	n.s	n.s
ENSMUSG00000000902	SMARCB1	14.36	12.057	14.375	13.1464	10.847	12.248	13.8071	12.678	n.s	n.s	n.s	n.s
ENSMUSG00000000903	VPREB3	0.032	0	0	0	0	0	0.0177087	0.0023753	n.s	n.s	n.s	n.s
ENSMUSG00000000915	HIP1R	12.835	9.135	8.90267	6.14366	14.415	8.27	11.4446	7.77706	n.s	n.s	n.s	n.s
ENSMUSG00000000916	NSUN5	9.899	10.391	9.14129	9.51961	8.137	10.452	8.86555	9.33618	n.s	n.s	n.s	n.s
ENSMUSG00000000934	TOP1MT	1.081	1.705	2.8742	2.13559	0.273	2.523	3.73449	2.20228	n.s	n.s	n.s	n.s
ENSMUSG00000000938	HOXA10	0	0	0	0	0	0	0	0	n.s	n.s	n.s	n.s
ENSMUSG00000000942	HOXA4	0	0.022	0	0	0	0	0	0	n.s	n.s	n.s	n.s
ENSMUSG00000000948	SNRPN	0	0	0	0	0	0	0	0	n.s	n.s	n.s	n.s
ENSMUSG00000000957	MMP14	0	0	0.0545471	0.0188115	0	0	0.234688	0.198437	n.s	n.s	n.s	up
ENSMUSG00000000958	SLC7A7	0.302	0.271	1.52027	1.20758	0.271	0.932	5.6336	3.7339	n.s	n.s	up	up
ENSMUSG00000000959	OXA1L	47.722	36.588	47.7113	25.3277	39.422	40.403	46.6173	23.6919	n.s	n.s	n.s	n.s
ENSMUSG00000000976	HEATR6	13.348	14.766	14.1138	15.563	10.82	13.509	14.4357	16.4161	n.s	n.s	n.s	n.s
ENSMUSG00000000982	CCL3	246.349	406.458	67.8127	17.1426	673.367	384.91	80.2232	20.3072	up	n.s	n.s	n.s
ENSMUSG00000000983	WFDC18	0.556	2.379	0.284092	0.247329	0.217	0.865	0.116374	0.00597301	n.s	n.s	n.s	n.s
ENSMUSG00000001014	ICAM4	3.875	6.274	2.412	1.48883	5.51	8.81	3.36526	2.05966	n.s	n.s	n.s	n.s
ENSMUSG00000001016	ILF2	65.143	76.043	69.4172	58.7829	57.285	81.086	70.9646	62.0949	n.s	n.s	n.s	n.s
ENSMUSG00000001017	CHTOP	44.293	54.156	44.2473	39.1077	40.492	53.356	43.3728	40.5023	n.s	n.s	n.s	n.s
ENSMUSG00000001018	SNAPIN	20.675	36.387	16.872	12.3715	23.602	35.105	16.6935	12.6467	n.s	n.s	n.s	n.s
ENSMUSG00000001020	S100A4	355.838	1770.58	338.725	109.365	381.245	1146.11	218.871	72.7615	n.s	n.s	dn	dn
ENSMUSG00000001021	S100A3	0.077	0.05	0.0663196	0.060542	0	0	0.0854593	0	n.s	n.s	n.s	n.s
ENSMUSG00000001023	S100A5	6.596	17.754	4.63269	2.18124	3.469	8.067	1.68362	1.49183	n.s	dn	dn	n.s
ENSMUSG00000001025	S100A6	233.535	537.771	147.494	38.8021	280.337	601.395	148.414	39.7114	n.s	n.s	n.s	n.s
ENSMUSG00000001027	SCN4A	0.035	0.009	0.00979131	0.0183256	0.01	0.011	0.00864181	0.0186291	n.s	n.s	n.s	n.s
ENSMUSG00000001029	ICAM2	43.746	49.774	29.6857	11.0454	27.157	39.263	23.9043	9.11696	n.s	n.s	n.s	n.s
ENSMUSG00000001034	MAPK7	6.035	7.93	9.33033	7.04848	3.536	8.606	10.8726	7.38015	n.s	n.s	n.s	n.s
ENSMUSG00000001036	EPN2	0	0	0.00903205	0	0	0	0.00581934	0.00836313	n.s	n.s	n.s	n.s
ENSMUSG00000001039	B9D1	0.553	0.916	0.278535	0.0270596	0.216	0.772	0.208425	0.103382	n.s	n.s	n.s	n.s
ENSMUSG00000001052	SEC24B	21.594	16.017	26.1795	20.0513	18.294	15.615	22.6074	17.0618	n.s	n.s	n.s	n.s
ENSMUSG00000001053	N4BP3	14.768	8.904	8.30987	7.05096	10.002	11.78	9.09367	7.01269	n.s	n.s	n.s	n.s
ENSMUSG00000001054	RMND5B	43.843	41.666	32.1564	24.4388	49.008	58.03	40.2661	31.4718	n.s	n.s	n.s	up
ENSMUSG00000001056	NHP2	147.411	117.216	138.962	58.8131	113.771	133.155	121.829	54.4595	n.s	n.s	n.s	n.s
ENSMUSG00000001062	1300018I17RIK	8.912	15.991	5.52474	4.94674	5.434	16.886	7.55193	7.19821	n.s	n.s	n.s	n.s
ENSMUSG00000001065	ZFP276	6.513	10.778	4.76303	4.60581	3.397	10.496	6.90564	6.51509	n.s	n.s	n.s	n.s
ENSMUSG00000001076	C1QL4	0	0	0	0	0	0	0	0	n.s	n.s	n.s	n.s
ENSMUSG00000001082	MFSD10	53.056	48.218	61.2723	44.4956	58.713	61.621	74.9967	53.2836	n.s	n.s	n.s	n.s
ENSMUSG00000001089	LUZP1	3.433	1.122	6.09588	6.68478	3.173	1.065	5.4366	7.26304	n.s	n.s	n.s	n.s
ENSMUSG00000001095	SLC13A2	4.474	8.975	1.43362	0.682689	2.741	10.858	1.93927	0.913845	n.s	n.s	n.s	n.s
ENSMUSG00000001098	KCTD10	30.463	24.885	33.8232	30.3283	27.838	29.527	35.3922	31.0947	n.s	n.s	n.s	n.s
ENSMUSG00000001100	POLDIP2	33.121	33.031	29.3502	21.9772	28.87	34.667	29.0056	23.6302	n.s	n.s	n.s	n.s
ENSMUSG00000001103	SEBOX	0.02	0	0	0	0.016	0	0	0	n.s	n.s	n.s	n.s
ENSMUSG00000001105	IFT20	29.696	87.289	20.9201	8.81132	28.358	69.852	22.8523	9.13001	n.s	n.s	n.s	n.s
ENSMUSG00000001119	COL6A1	0.191	0.137	0.0264128	0.0196831	0.086	0.014	0.006946	0.0099823	n.s	n.s	n.s	n.s
ENSMUSG00000001120	PCBP3	0.019	0.072	0.193032	0.0896509	0	0.031	0.113271	0.11717	n.s	n.s	n.s	n.s
ENSMUSG00000001123	LGALS9	174.138	166.063	177.121	74.101	185.647	168.418	156.807	70.1453	n.s	n.s	n.s	n.s
ENSMUSG00000001127	ARAF	18.832	28.519	15.7774	16.04	18.855	23.819	17.3374	17.1801	n.s	n.s	n.s	n.s
ENSMUSG00000001128	CFP	42.848	56.547	151.713	78.5363	35.967	51.888	125.504	69.0345	n.s	n.s	n.s	n.s
ENSMUSG00000001131	TIMP1	0	0	0.132584	0.0699015	0.024	0	0.0342607	0.049237	n.s	n.s	n.s	n.s
ENSMUSG00000001134	UXT	7.477	15.774	6.68987	5.04436	6.467	12.726	6.84142	5.31588	n.s	n.s	n.s	n.s
ENSMUSG00000001138	CNNM3	10.637	10.409	12.888	14.3329	8.138	10.857	13.4106	14.4777	n.s	n.s	n.s	n.s
ENSMUSG00000001143	LMAN2L	5.062	6.094	6.19381	6.74801	3.382	6.498	9.08452	9.00175	n.s	n.s	up	n.s
ENSMUSG00000001150	MCM3AP	38.44	45.386	40.0282	41.5795	32.274	55.989	50.476	51.6826	n.s	n.s	up	up
ENSMUSG00000001151	PCNT	18.849	12.835	16.755	16.9529	11.959	11.82	16.5893	18.2583	n.s	n.s	n.s	n.s
ENSMUSG00000001155	FTCD	0.151	0.314	0	0	0.06	0.101	0	0	n.s	n.s	n.s	n.s
ENSMUSG00000001156	MXD1	12.618	14.023	9.52447	13.4949	23.843	15.862	10.6825	15.8781	up	n.s	n.s	n.s
ENSMUSG00000001157	GMCL1	12.898	12.88	10.8526	11.4838	16.627	13.779	12.5668	11.2814	n.s	n.s	n.s	n.s
ENSMUSG00000001158	SNRNP27	20.293	24.789	12.9757	5.43813	20.702	24.684	13.1735	5.28233	n.s	n.s	n.s	n.s
ENSMUSG00000001166	OAS1C	4.028	4.927	1.06507	1.02391	1.541	5.32	0.844605	0.810214	n.s	n.s	n.s	n.s
ENSMUSG00000001168	OAS1H	0	0	0	0	0	0	0	0	n.s	n.s	n.s	n.s
ENSMUSG00000001173	OCRL	11.587	17.641	10.5728	11.8298	10.874	13.971	11.4485	12.1784	n.s	n.s	n.s	n.s
ENSMUSG00000001175	CALM1	109.797	133.456	146.941	135.354	118.983	141.801	149.115	134.414	n.s	n.s	n.s	n.s
ENSMUSG00000001211	AGPAT3	2.52	1.761	0.835623	0.82897	2.83	2.009	1.11755	0.918728	n.s	n.s	n.s	n.s
